index,pp_min,pp_mean,pp_max,pop_dev_max,pop_dev_mean,cut_edges,step,plan_idx,county_splits
62,0.10350593370172095,0.19557829340197874,0.32521828429551414,0.004494142262810466,0.00233428176088497,1780,62,62,69
51,0.10350593370172095,0.19557829340197874,0.32521828429551414,0.004494142262810466,0.00233428176088497,1780,51,51,69
46,0.10350593370172095,0.19557829340197874,0.32521828429551414,0.004494142262810466,0.00233428176088497,1780,46,46,69
60,0.10350593370172095,0.19557829340197874,0.32521828429551414,0.004494142262810466,0.00233428176088497,1780,60,60,69
59,0.10350593370172095,0.19557829340197874,0.32521828429551414,0.004494142262810466,0.00233428176088497,1780,59,59,69
63,0.10350593370172095,0.19557829340197874,0.32521828429551414,0.004494142262810466,0.00233428176088497,1780,63,63,69
58,0.10350593370172095,0.19557829340197874,0.32521828429551414,0.004494142262810466,0.00233428176088497,1780,58,58,69
49,0.10350593370172095,0.19557829340197874,0.32521828429551414,0.004494142262810466,0.00233428176088497,1780,49,49,69
48,0.10350593370172095,0.19557829340197874,0.32521828429551414,0.004494142262810466,0.00233428176088497,1780,48,48,69
52,0.10350593370172095,0.19557829340197874,0.32521828429551414,0.004494142262810466,0.00233428176088497,1780,52,52,69
61,0.10350593370172095,0.19557829340197874,0.32521828429551414,0.004494142262810466,0.00233428176088497,1780,61,61,69
50,0.10350593370172095,0.19557829340197874,0.32521828429551414,0.004494142262810466,0.00233428176088497,1780,50,50,69
1239,0.10129720345551461,0.16985278426342176,0.2492882273416387,0.004778084701324987,0.0026299131921954395,2024,1239,225,68
56,0.10350593370172095,0.19557829340197874,0.32521828429551414,0.004494142262810466,0.00233428176088497,1780,56,56,69
1240,0.10129720345551461,0.16985278426342176,0.2492882273416387,0.004778084701324987,0.0026299131921954395,2024,1240,226,68
54,0.10350593370172095,0.19557829340197874,0.32521828429551414,0.004494142262810466,0.00233428176088497,1780,54,54,69
45,0.10350593370172095,0.19557829340197874,0.32521828429551414,0.004494142262810466,0.00233428176088497,1780,45,45,69
55,0.10350593370172095,0.19557829340197874,0.32521828429551414,0.004494142262810466,0.00233428176088497,1780,55,55,69
44,0.10350593370172095,0.19557829340197874,0.32521828429551414,0.004494142262810466,0.00233428176088497,1780,44,44,69
43,0.10350593370172095,0.19557829340197874,0.32521828429551414,0.004494142262810466,0.00233428176088497,1780,43,43,69
47,0.10350593370172095,0.19557829340197874,0.32521828429551414,0.004494142262810466,0.00233428176088497,1780,47,47,69
53,0.10350593370172095,0.19557829340197874,0.32521828429551414,0.004494142262810466,0.00233428176088497,1780,53,53,69
64,0.10350593370172095,0.19557829340197874,0.32521828429551414,0.004494142262810466,0.00233428176088497,1780,64,64,69
57,0.10350593370172095,0.19557829340197874,0.32521828429551414,0.004494142262810466,0.00233428176088497,1780,57,57,69
65,0.10350593370172095,0.19557829340197874,0.32521828429551414,0.004494142262810466,0.00233428176088497,1780,65,65,69
66,0.10350593370172095,0.19557829340197874,0.32521828429551414,0.004494142262810466,0.00233428176088497,1780,66,66,69
