index,pp_min,pp_mean,pp_max,pop_dev_max,pop_dev_mean,cut_edges,step,plan_idx,county_splits,max_county_districts
94687,0.11522693739714125,0.21763632188244209,0.31318010786201567,0.004734706987088384,0.002667775160425899,404,94687,94687,24,4
34891,0.11733030440757936,0.21823904466187322,0.33759182759263334,0.003990350891535596,0.0025680528126963385,422,34891,34891,19,5
94689,0.11522693739714125,0.21763632188244209,0.31318010786201567,0.004734706987088384,0.002667775160425899,404,94689,94689,24,4
34888,0.11733030440757936,0.21823904466187322,0.33759182759263334,0.003990350891535596,0.0025680528126963385,422,34888,34888,19,5
28660,0.1050489969749674,0.23258508533311303,0.3612090889079577,0.004639193699490267,0.00247735566121016,433,28660,28660,19,4
28659,0.1050489969749674,0.23258508533311303,0.3612090889079577,0.004639193699490267,0.00247735566121016,433,28659,28659,19,4
38610,0.1059869719283529,0.24764584034922477,0.4219620450182058,0.004216668817064695,0.002062277577478679,408,38610,38610,20,4
25714,0.1233705487122145,0.2483536311268803,0.33290481317943177,0.0038553371934731723,0.0020616300297661497,424,25714,25714,20,5
